method,PSNR,SSIM,runtime_s,image_index,image_name,sigma,p,p_pct,run_mode,resize_images,image_size,k
Noisy,18.160136490011737,0.4703901255369992,0.0,1,kodim01.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,26.756218288480174,0.7896773416290284,0.17650765300004423,1,kodim01.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.253253142293794,0.480084613432493,0.18639991300005931,1,kodim01.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.677808153559706,0.5011967116568651,3.9054425909998827,1,kodim01.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,26.785012462982895,0.8337125844336283,4.320272025999657,1,kodim01.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.589794228839768,0.19352806506246553,0.0,2,kodim02.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.755966528730507,0.6331288940548897,0.17591552199974103,2,kodim02.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,17.903001745216727,0.24780508875625534,0.22264207800071745,2,kodim02.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.200069209761672,0.2621807182204736,5.468922518999534,2,kodim02.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,28.891427316086794,0.6333879621409625,4.592148511000232,2,kodim02.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,18.123246688297392,0.26438512540433406,0.0,3,kodim03.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.741600520679818,0.6859682832403183,0.17708224699981656,3,kodim03.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.396431366450816,0.3079698505058125,0.2187946509993708,3,kodim03.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.84818073835346,0.32960251944463326,4.526099214000169,3,kodim03.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,30.299357717473544,0.7561492813644893,5.637393942999552,3,kodim03.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.93259924432236,0.2812729504883385,0.0,4,kodim04.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.35331008125963,0.7152681722297668,0.1793779870004073,4,kodim04.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.16379171206193,0.3123073342990211,0.2071598319998884,4,kodim04.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.56623520500665,0.33242207961249515,4.128444683000453,4,kodim04.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,29.27341844588593,0.7613066482164264,5.912280985999132,4,kodim04.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.707320054792042,0.5528916295401067,0.0,5,kodim05.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,26.817931185741536,0.8546190635843277,0.17469458499999746,5,kodim05.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,17.775987678099753,0.5578856296141987,0.18570801199985,5,kodim05.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.056820352448682,0.5711488389220765,3.6790437290001137,5,kodim05.png,10,0.05,5,final,True,"(256, 256)",2.0
