sigma,p_pct,method,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,Runtime_mean_s,Runtime_std_s
10,5,AMF,28.45002863525177,1.1634305951724158,0.7399152592006288,0.05525395183945012,0.18517751974995159,0.01991393042324285
10,5,BM3D,18.399333071561298,0.42098031836581645,0.39447180955763134,0.08603463533805296,4.565170059624886,0.6830915221935117
10,5,NLM,18.02402783440771,0.3494035425567279,0.3743201743662618,0.08690191806469037,0.23435314362507143,0.06415704527016923
10,5,Noisy,17.845910287913366,0.33197246264247515,0.3482386543928708,0.0976354947439245,0.0,0.0
10,5,Proposed,28.19267130946186,1.4045235409066594,0.7874602247214487,0.04924519319480617,4.96417189349999,0.6309580012957635
10,10,AMF,28.034555649263055,1.143001719822763,0.7272587926133616,0.058871307584109606,0.19038580087510582,0.02346265214808356
10,10,BM3D,15.269775826323736,0.4150815124024061,0.23204187340566085,0.08200735506428782,4.42478018745832,0.616000175046257
10,10,NLM,15.080478468338734,0.3928869779299831,0.2264469639065633,0.08125263136736549,0.20149065887490755,0.03493768149259292
10,10,Noisy,15.055758553468147,0.396128043176959,0.22351396978832272,0.08248134085058433,0.0,0.0
10,10,Proposed,24.723030054996347,1.135207429122535,0.6871227842474185,0.07523288067791534,5.056155037625028,0.7680363576227452
10,20,AMF,27.20873099305435,1.2413838332010547,0.7039698255966501,0.05912772941824998,0.1934461367499883,0.024363988771130694
10,20,BM3D,12.270642940696534,0.3860051011490589,0.12869391851777565,0.05562531284649866,4.004038106874835,0.6240775983110343
10,20,NLM,12.176047929063436,0.37808171840519095,0.12719239080749986,0.05524215318137036,0.20334234700002676,0.04301964267746996
10,20,Noisy,12.175482523461797,0.3785562969901263,0.12715246798903238,0.05525920229038692,0.0,0.0
10,20,Proposed,18.633028545586615,1.3401243616318017,0.4167763067760997,0.114387311110418,4.841305230833275,0.6997092008973652
25,5,AMF,22.308797309497525,0.4811945834960799,0.44133404964069634,0.09566346571563199,0.18967999574996006,0.021879596676727855
25,5,BM3D,21.771173725783118,1.286494210765146,0.5000249666262323,0.07154717643162743,5.011418044291683,0.7294488891092664
25,5,NLM,22.54532960858934,1.4698256320456757,0.5487026886616139,0.044662767610805,0.39693047020830363,0.0793098324691833
25,5,Noisy,16.257946874775648,0.18261931290102393,0.2534639158260295,0.09079834448090013,0.0,0.0
25,5,Proposed,23.283049167581925,0.6894319526493624,0.49707836000221145,0.09417039909665285,5.086858692499845,0.6258378634228265
25,10,AMF,21.91897276295597,0.4532986462702906,0.42603289987689025,0.09649718262325017,0.1892195915833478,0.023503081842656894
25,10,BM3D,16.99811043770552,0.6435607868784436,0.26840488191597106,0.07336122116886712,4.713088676958212,0.6620103073468308
25,10,NLM,17.024920952115743,0.8227966337285519,0.28808877521428483,0.05629565443097051,0.3015786603750333,0.04905064592651735
25,10,Noisy,14.187829239761848,0.2550100258950181,0.18442641437354168,0.07328240301789403,0.0,0.0
25,10,Proposed,21.9551619333775,0.8674452642486813,0.46105592776940557,0.09162115204831871,5.051493497041747,0.6615332997253198
25,20,AMF,21.369172153056393,0.459552766346889,0.4056032165724081,0.09528904668719566,0.19205490862520946,0.022609148725329372
25,20,BM3D,12.600846668399754,0.4424827852048948,0.1295084635989353,0.05487512850908125,4.391290026333422,0.6117280035086747
25,20,NLM,11.985297632183245,0.37096143833530715,0.11904701377889203,0.05100746332136974,0.21276583474995428,0.04297047408491195
25,20,Noisy,11.727897535815531,0.348652288718592,0.11515413027803445,0.05148978016234135,0.0,0.0
25,20,Proposed,17.691607891129106,1.3097584797340496,0.33331454494994533,0.09195547615125935,4.917459995999972,0.6095108380498334
